location,lat,long
Hyderabad,17.4065,78.5505
"Rajiv Gandhi International Stadium, Uppal",17.4065,78.5505
Rajkot,22.363,70.71
Saurashtra Cricket Association Stadium,22.363,70.71
Indore,22.7243,75.8797
Holkar Cricket Stadium,22.7243,75.8797
Bengaluru,12.9788,77.5998
M Chinnaswamy Stadium,12.9788,77.5998
Mumbai,18.9389,72.8258
Wankhede Stadium,18.9389,72.8258
Kolkata,22.5646,88.3433
Eden Gardens,22.5646,88.3433
Delhi,28.6379,77.2432
Feroz Shah Kotla,28.6379,77.2432
Mohali,30.6909,76.7375
"Punjab Cricket Association Stadium, Mohali",30.6909,76.7375
Kanpur,26.4813,80.3452
Green Park,26.4813,80.3452
Jaipur,26.894,75.8032
Sawai Mansingh Stadium,26.894,75.8032
Chennai,13.0629,80.2792
"MA Chidambaram Stadium, Chepauk",13.0629,80.2792
Dr DY Patil Sports Academy,19.0385,73.0227
Cape Town,-33.9709,18.468
Newlands,-33.9709,18.468
Port Elizabeth,-33.966,25.6067
St George's Park,-33.966,25.6067
Durban,-29.8502,31.0277
Kingsmead,-29.8502,31.0277
Centurion,-25.86,28.1955
SuperSport Park,-25.86,28.1955
East London,-33.0068,27.9196
Buffalo Park,-33.0068,27.9196
Johannesburg,-26.1254,28.0544
New Wanderers Stadium,-26.1254,28.0544
Kimberley,-28.7323,24.7623
De Beers Diamond Oval,-28.7323,24.7623
Bloemfontein,-29.121,26.214
OUTsurance Oval,-29.121,26.214
Brabourne Stadium,18.9323,72.8247
Ahmedabad,23.0422,72.5643
"Sardar Patel Stadium, Motera",23.0422,72.5643
Cuttack,20.4807,85.8686
Barabati Stadium,20.4807,85.8686
Nagpur,21.0136,79.0397
"Vidarbha Cricket Association Stadium, Jamtha",21.0136,79.0397
Dharamsala,32.1976,76.3258
Himachal Pradesh Cricket Association Stadium,32.1976,76.3258
Kochi,9.9973,76.3007
Nehru Stadium,9.9973,76.3007
Visakhapatnam,17.7977,83.3523
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,17.7977,83.3523
Pune,18.6745,73.7065
Subrata Roy Sahara Stadium,18.6745,73.7065
Raipur,21.2034,81.8239
Shaheed Veer Narayan Singh International Stadium,21.2034,81.8239
Ranchi,23.3102,85.2748
JSCA International Stadium Complex,23.3102,85.2748
Abu Dhabi,24.3966,54.5408
Sheikh Zayed Stadium,24.3966,54.5408
Sharjah,25.3309,55.4209
Sharjah Cricket Stadium,25.3309,55.4209
Dubai,25.0467,55.2189
Dubai International Cricket Stadium,25.0467,55.2189
